t,r,l,episode_ale_score
329536,5.5,499,290.0
330624,15.0,707,480.0
331296,6.0,917,300.0
332144,22.5,697,630.0
332384,23.5,553,650.0
332768,15.5,495,490.0
332880,14.5,645,470.0
333232,35.5,625,890.0
333680,19.5,725,570.0
335200,7.5,487,330.0
337024,15.0,559,480.0
337376,15.5,617,490.0
337728,13.5,627,450.0
337808,7.5,517,330.0
338208,14.0,701,460.0
338976,16.5,775,510.0
339808,7.5,479,330.0
339920,6.5,581,310.0
340448,3.5,755,250.0
340592,3.5,581,250.0
343152,15.5,673,490.0
343488,16.5,663,510.0
343840,7.5,663,330.0
343936,8.5,641,350.0
344976,15.5,763,490.0
345296,-2.0,517,140.0
345520,1.0,487,200.0
346448,7.0,703,320.0
347568,4.0,585,260.0
347632,0.0,489,180.0
348048,-0.5,475,170.0
348192,-0.5,475,170.0
348400,17.0,689,520.0
349760,4.0,747,260.0
350352,11.5,711,410.0
350368,32.5,653,830.0
353200,11.5,607,410.0
353616,11.5,605,410.0
353824,27.0,667,720.0
354624,9.5,569,370.0
355664,7.0,739,320.0
356832,17.0,721,520.0
356864,8.5,651,350.0
357280,18.0,607,540.0
357440,12.5,613,430.0
357856,17.5,613,530.0
358368,16.5,623,510.0
358400,27.5,839,730.0
358688,37.0,521,920.0
360112,5.5,647,290.0
361904,14.0,857,460.0
362096,21.5,733,610.0
362720,19.0,595,560.0
363776,33.5,635,850.0
365040,12.5,651,430.0
365456,11.5,511,410.0
366800,6.0,585,300.0
367152,12.5,643,430.0
367344,15.5,593,490.0
367408,24.5,661,670.0
367712,12.5,475,430.0
368528,14.0,919,460.0
368640,33.0,409,840.0
368656,30.5,641,790.0
369232,5.5,679,290.0
370048,17.0,899,520.0
371376,20.5,793,590.0
372112,23.0,587,640.0
372672,23.5,673,650.0
373840,9.0,629,360.0
374688,12.5,493,430.0
375616,14.5,517,470.0
376096,16.0,665,500.0
376448,18.5,581,550.0
377312,20.5,505,590.0
377728,44.5,793,1070.0
378464,8.0,613,340.0
378480,16.0,673,500.0
378896,19.0,641,560.0
379968,6.0,785,300.0
380832,37.5,545,930.0
381088,6.0,785,300.0
381664,17.0,643,520.0
381680,7.0,727,320.0
381872,19.0,575,560.0
384352,4.0,367,260.0
384560,38.0,559,940.0
384608,4.5,357,270.0
385840,14.5,697,470.0
387088,9.0,665,360.0
387136,35.0,831,880.0
387568,4.0,569,260.0
387664,76.0,723,1700.0
388176,5.0,513,280.0
389968,17.0,791,520.0
390288,8.0,591,340.0
390576,36.5,803,910.0
391488,37.5,613,930.0
392176,21.0,657,600.0
392512,8.0,665,340.0
393104,18.5,547,550.0
394048,42.0,593,1020.0
394432,17.5,537,530.0
395248,16.0,507,500.0
395728,14.5,915,470.0
398496,12.5,645,430.0
398784,18.5,531,550.0
399264,23.0,581,640.0
399872,32.0,799,820.0
400752,77.0,1009,1720.0
401024,27.0,835,720.0
401168,19.0,541,560.0
402944,16.5,673,510.0
403552,7.5,653,330.0
403840,8.0,507,340.0
404000,24.0,1027,660.0
404768,7.0,887,320.0
405120,7.0,617,320.0
405168,7.5,695,330.0
406928,3.0,441,240.0
407296,13.0,409,440.0
407664,47.5,1011,1130.0
407696,7.5,575,330.0
408624,12.5,475,430.0
409200,22.5,651,630.0
409200,15.5,923,490.0
409488,33.0,409,840.0
411440,12.5,475,430.0
411792,54.0,783,1260.0
412432,32.5,479,830.0
413056,22.0,743,620.0
413616,19.0,601,560.0
415776,5.5,507,290.0
415808,15.5,555,490.0
415920,8.0,539,340.0
416464,43.5,709,1050.0
416960,8.5,521,350.0
417600,26.5,777,710.0
418176,7.5,655,330.0
419680,17.0,655,520.0
419968,19.5,673,570.0
420064,14.0,661,460.0
420992,19.5,575,570.0
421424,12.5,1117,430.0
421856,81.5,651,1810.0
422848,7.5,651,330.0
423120,18.0,629,540.0
423168,7.5,597,330.0
423936,4.5,501,270.0
427168,11.5,669,410.0
427312,7.0,607,320.0
427664,3.0,475,240.0
427696,15.5,745,490.0
427856,4.0,605,260.0
428720,27.5,735,730.0
429456,13.0,475,440.0
429872,14.5,879,470.0
430480,33.0,409,840.0
431056,18.5,711,550.0
