#{"t_start": 1760747982.639977, "env_id": "None"}
r,l,t
12.5,475,69.972186
54.0,783,70.035451
32.5,479,70.14228
22.0,743,70.246734
19.0,601,70.338408
5.5,507,70.690046
15.5,555,70.700192
8.0,539,70.721234
43.5,709,70.820173
8.5,521,70.90232
26.5,777,71.026649
7.5,655,71.121009
17.0,655,71.345574
19.5,673,71.392168
14.0,661,71.407934
19.5,575,71.545853
12.5,1117,71.619378
81.5,651,71.684878
7.5,651,71.831308
18.0,629,71.87836
7.5,597,71.890243
4.5,501,72.000251
11.5,669,72.473074
7.0,607,72.497965
3.0,475,72.550077
15.5,745,72.561094
4.0,605,72.588701
27.5,735,72.72305
13.0,475,72.852055
14.5,879,72.918024
33.0,409,73.008854
18.5,711,73.097563
